task_id,text,department_id,employee_id,status,priority,estimated_time
1,"Четырехкратный олимпийский чемпион и кандидат в президенты Олимпийского комитета России (ОКР) Александр Попов опасается, что российский спорт ожидают новые допинг-разбирательства из-за утечки базы данных Московской антидопинговой лаборатории. «Это начало третьей серии триллера», — заявил он.",9,99,success,high,5
2,"Актер Иэн МакКеллен раскритиковал Голливуд за отказ изображать гомосексуальных мужчин в фильмах. Он подчеркнул, что ситуация начала немного улучшаться после выхода фильма «Боги и монстры». «Это было началом признания Голливудом того, что геи и лесбиянки существуют, хотя половина людей в Голливуде — геи», — добавил он.",8,145,in progress,medium,6
3,"В православных храмах нельзя строить туалеты. Такое мнение высказал  член Патриаршего совета по культуре Леонид Калинин. По его словам, это противоречит религиозным нормам. «Это нонсенс. Храм — это место молитвы, а не место отправления нужд», — заключил представитель РПЦ.",5,31,success,medium,16
4,"Трое курганских полицейских предстанут перед судом за то, что раскрывали выдуманные преступления и договаривались с невиновными людьми о признании вины. Они уговорили арестованного мужчину взять на себя несколько чужих преступлений — кражи и хранение оружия.",18,71,in progress,low,24
5,"Ракетные двигатели на метане перспективнее силовых агрегатов на керосине, и США опережают Россию в создании таких установок, сообщил в интервью «Интерфаксу» генеральный директор научно-производственного объединения «Энергомаш» Игорь Арбузов, выпускающего РД-180 и РД-181.",17,39,failed,low,31
6,"Министерство труда и социальной защиты намерено получить контроль над доходами всех россиян, чтобы выявлять самозанятых граждан и обязать их платить сборы во внебюджетные фонды — социального и медицинского страхования. Еще один метод контроля — коммунальные платежи, по которым Минтруд намерен следить за расходами.",14,213,success,medium,11
7,"Дизайнер Николя Гескьер, креативный директор женских коллекций Louis Vuitton, сохранит свой пост. Французский модный дом продлил сотрудничество с модельером ввиду «беспрецедентного роста продаж женской одежды и аксессуаров», а также благодаря оригинальности организованных им модных показов.",19,109,success,low,38
8,"В результате авиаударов возглавляемой США международной коалиции в Ираке и Сирии, по оценке британской мониторинговой группы Airwars, были убиты 9,6 тысячи мирных жителей. Исследователи называют этот показатель худшим со времен войны во Вьетнаме. В коалиции заявляют о гибели 883 граждан в результате авиаударов.",15,46,success,medium,26
9,"Специалисты продемонстрировали атаку, которая уничтожает жесткий диск с помощью звуковых волн. Слышимое и ультрачастотное воздействие способно физически повредить носители и файлы. Особенность проведенного эксперимента — в том, что звук можно запустить как вблизи компьютера, там и из встроенного динамика.",13,115,in progress,medium,22
10,"Бойцы Вооруженных сил Украины во время испытаний американских противотанковых ракетных комплексов Javelin поразили танк. «Для проверки эффективности поражения целей огонь велся не по макету, а по реальному танку», — написал секретарь украинского Совета национальной безопасности и обороны Александр Турчинов.",21,86,success,high,15
11,"Глава Роскомнадзора Александр Жаров заявил, что отток рекламы и людей из Telegram составил 25 процентов с начала блокировки. В ходе Петербургского международного экономического форума Жаров отметил, что благодаря усилиям ведомства запрещенный мессенджер работает с перебоями у 15-40 процентов пользователей в сутки.",13,131,success,high,22
12,"Басманный суд Москвы арестовал до 21 июля бывшего мэра Ялты Андрея Ростенко, обвиняемого в превышении должностных полномочий. Мера пресечения избрана по ходатайству следствия. Чиновник входил в организованную преступную группировку «Греки» и для нее занимался отъемом земель.",18,215,success,medium,32
13,"На ядерном полигоне Пхунгери в Северной Корее взорваны все три действовавшие шахты вместе с наземными постройками. «Институт ядерного оружия КНДР провел церемонию по демонтажу северного ядерного испытательного полигона», — говорится в заявлении, которое было зачитано после демонтажа.",15,44,success,medium,30
14,"Правительство может перерегистрировать компанию «Русал» Олега Дерипаски в российских офшорах, которые будут созданы на островах Октябрьский и Русский. Глава Минэкономразвития Максим Орешкин сообщил, что ряд крупных российских компаний заинтересовался такой перспективой.",14,213,success,medium,17
15,"Бывший главный тренер мадридского «Реала» Зинедин Зидан может стать наставником сборной Катара. «Зидан будет тренировать национальную сборную Катара к чемпионату мира 2022 года. 50 миллионов евро в год на протяжении четырех лет. Деньги решают все?», — написал египетский бизнесмен Нагиб Савирис.",9,100,failed,medium,24
16,"Запрещать госслужащим выезжать на отдых в страны, которые ввели санкции в отношении России, на законодательном уровне не стоит, считает депутат Госдумы Михаил Дегтярев. «Вопрос отдыха любого человека — госслужащего или нет — лежит в плоскости ""прилично или неприлично""» — пояснил он свою позицию.",5,188,success,medium,7
17,"Камеры видеонаблюдения возле кафе «Ивушка», где последний раз видели живой многодетную мать Наталью Дмитриеву из краснодарского поселка Псебай, засняли момент общения женщины с людьми, подозреваемыми в ее убийстве. По версии следствия, убийц было двое, и это якобы подтверждает видеозапись.",5,21,success,low,30
18,"Одним из основных направлений работы курорта «Первая линия» является репродуктивная медицина. Так, в число оздоровительных программ, входят специальные программы послеродовой реабилитации. В настоящее время руководство оздоровительного комплекса совместно с властями Петербурга прорабатывает возможности сотрудничества.",14,28,in progress,high,11
19,"Стали известны девизы сборных стран-участниц чемпионата мира по футболу 2018 года. Девиз национальной команды России — «Играй с открытым сердцем». «Когда вы говорите про Фараонов, мир должен встать и слушать» — у Египта, «Рыцари пустыни» — у Саудовской Аравии, «Солнце сияет в России на светло-голубом небе» — у Уругвая.",9,208,in progress,medium,9
20,"Инвестиции в аэропорт Шереметьево стратегически важны для Подмосковья, это позволит нарастить экономический потенциал региона, заявил губернатор Московской области Андрей Воробьев после осмотра нового терминала В международного аэропорта. Глава региона поблагодарил руководство аэропорта за проделанную работу.",5,78,success,low,15
21,Роспотребназдор провел внеплановые проверки гостиниц к чемпионату мира по футболу и выявил множество нарушений. Были засвидетельствованы 738 случаев завышения цен на обслуживание в отелях и 190 случаев отсутствия у гостиниц подтверждения прохождения классификации.,11,150,in progress,high,17
22,"Белозерский районный суд отправил в колонию особого режима местного жителя, который вместе с подельниками украл у 85-летней пенсионерки 1,7 тысячи рублей. Они представились женщине сотрудниками газовой службы и под предлогом проверки системы отопления вошли в дом. Все трое ранее судимые.",18,35,success,high,21
23,"Во время прогулки по Саксонскому птичьему заповеднику молодой девушке опустился на голову крупный черный какаду, которого в сети приняли за героя произведения Эдгара Алана По и нарекли предвестником смерти. Птицу назвали «ангелом смерти» и посоветовали девушке смириться со своей судьбой.",13,53,success,medium,11
24,"Ученые Миланского университета выяснили, что физическая нагрузка на мышцы ног снижает риск возникновения нейродегенеративных заболеваний, включая рассеянный склероз или атрофию спинного мозга, а также препятствует их прогрессированию. Статья специалистов опубликована в журнале Frontiers in Neuroscience.",17,75,in progress,low,4
25,"В учебниках средней школы по ОБЖ на севере Китая девушкам рассказали, какие их действия расцениваются как домогательства мужчин. В их число вошли открытая одежда, громкий разговор и физический контакт с представителем противоположного пола. В то же время не уточняется, насколько открытой должна быть одежда.",15,40,success,low,37
26,состоялось подписание меморандума о сотрудничестве в формировании цифровой «инфраструктуры доверия» для сферы интеллектуальной собственности между Ассоциацией «Национальный координационный центр обработки транзакций с правами и объектами интеллектуальной собственности» (IPChain) и «Союзмультфильмом».,14,58,success,high,17
27,"Forbes составил список богатейших наследников России. В него вошли дети миллиардеров, которые могут унаследовать не менее 2,3 миллиарда долларов. Самым богатым наследником признан сын президента «Лукойла» Вагита Алекперова Юсуф — он может получить 17 миллиардов долларов.",14,10,success,low,14
28,"В Хакасии неизвестные разгромили поселок Кулацкий, в котором проживают преимущественно цыгане. Причиной погрома могло стать недавнее убийство жителя райцентра, которое произошло во время драки с местными жителями. В региональном отделении следственного комитета не располагают информацией о предполагаемом преступлении.",5,21,in progress,high,17
29,"Камеры наблюдения в иркутском торговом центре сняли момент взрыва на научном шоу, в результате которого пострадали десять детей. По данным следствия, в ходе представления произошел выброс горючего газа, который попал на газовую горелку и воспламенился. Дети, сидящие на первом ряду, получили ожоги.",5,197,success,high,26
30,"Ученые Стокгольмского университета в Швеции выяснили, что продолжительный сон в выходные дни может компенсировать его недостаток в будни, предотвратить связанные с этим болезни, а также снизить риск преждевременной смерти. Слишком долгий сон, наоборот, связан с проблемами со здоровьем.",17,38,success,low,34
31,"Президент России подписал закон, согласно которому юридическим лицам, подконтрольным офшорным компаниям, разрешили приватизировать предприятия. Закон уточняет понятие «иностранный инвестор» — под него, в частности, больше не подпадают иностранные организации, находящиеся под контролем россиян или российских юрлиц.",14,152,success,low,19
32,"Певица Юлия Самойлова презентовала автобиографию под названием «Обычная необычная история». В ней артистка рассказала о начале музыкальной карьеры и о дискриминации, с которой ей пришлось столкнуться. По ее словам, ей не давали петь на городских праздниках и даже не пускали в заведения и магазины из-за инвалидности.",8,211,in progress,low,26
33,"Онлайн-ретейлер Asos предложил девушкам сумку, напоминающую металлическую корзину из супермаркета. Внешний корпус изделия представляет собой каркас из железных прутьев, скрепленных в виде сетки. Внутри корзинки располагается черный мешок из полиэстера и полиамида для хранения вещей.",19,169,success,low,9
34,"В Петербурге нашли закопанное в земле тело гендиректора фирмы по решению проблем с долгами Игоря Родионова. Предположительно, его убили за долги. Родионова искали больше суток. По словам очевидцев, в ночь на 22 мая его силой увезли на черном внедорожнике несколько мужчин в спортивных куртках.",5,187,success,high,2
35,"Российский журналист Шура Буртин объявил голодовку в поддержку голодающего 19-й день осужденного за подготовку терактов украинского кинорежиссера Олега Сенцова, который потребовал освободить всех украинских политзаключенных в России. Он написал, что чувствует себя насекомым, не предпринимая никаких действий.",5,188,failed,high,30
36,"Верховная Рада приняла законопроект, который позволит украинской оборонке не выплачивать долги России. Начиная с 2014 года военно-техническое сотрудничество двух стран практически свернуто. Долги украинских предприятий перед российскими партнерами составляют почти девять миллиардов рублей.",21,141,success,low,13
37,"Певица Светлана Лобода родила ребенка лидеру Rammstein Тиллю Линдеманну. Девочка весом в три килограмма и ростом 48 сантиметров появилась на свет в одной из лучших клиник Лос-Анджелеса. Сама Лобода отрицает близкую связь с 55-летним немецким музыкантом, у которого есть две взрослые дочери.",10,199,success,high,21
38,"Из зоопарка в немецком городе Люнебах, земля Рейнланд-Пфальц, сбежало несколько крупных хищников. По информации агентства, на волю вырвались львы и пумы. По сведениям The Local, сбежали два тигра, два льва, ягуар и медведь. Медведя удалось застрелить, остальные животные остаются на свободе.",10,116,success,high,6
39,"Таиландскую модель оштрафовали за непристойное поведение в общественном месте после скандала, который вызвали ее снимки, сделанные в ресторане «Макдоналдс» в Бангкоке. На всплывших в интернете кадрах она демонстрирует свое нижнее белье за столом в «Макдоналдс» и перед фигурой Рональда Макдональда.",10,165,in progress,low,33
40,На сайте Change.org появилась петиция с просьбой отправить певицу Юлию Самойлову на международное музыкальное соревнование «Евровидение-2019» в Израиль в качестве участника от России. Обращение адресовано Первому каналу и президенту России Владимиру Путину. С петицией согласился эксперт при Госдуме Вадим Манукян. <br />,8,190,success,high,4
41,"Советский летчик, считавшийся без вести пропавшим после крушения самолета во время афганской войны, может находиться в Пакистане, куда в те годы свозили в лагеря советских пленных. Российская сторона намерена установить личность пилота и выяснить, почему о нем стало известно лишь спустя 30 лет.",5,31,in progress,high,14
42,"В сети появилось видео из Пресненской пересыльной тюрьмы, на котором арестанты приветствуют вора в законе Захария Калашова, известного как Шакро Молодой. Заключенные желают ему «крепкого здоровья, терпения, воровского фарта и всего самого светлого». Калашов осужден на 9 лет и 10 месяцев.",18,148,success,high,5
43,"Мэр Киева Виталий Кличко объяснил отказ фанатов мадридского «Реала» от поездки на финал Лиги чемпионов в Киев. «Мы связались с клубами ""Реал"", ""Ливерпуль"", с фан-клубами, сказали: пожалуйста, кто сдает билеты – дайте информацию, потому что мы готовы купить. Тишина. Это фейк-ньюс», — заявил Кличко.",9,27,success,low,8
44,"Организаторы «Пикника Афиши» анонсировали новых исполнителей, которые выступят на музыкальном фестивале. В частности, на «Пикнике» выступят музыкант Дельфин (настоящее имя  Андрей Лысиков), певица Земфира, электронный хип-хоп-дуэт «Аигел», бельгийский проект Oscar and the Wolf, и рок-группа «Пасош».",8,89,success,medium,36
45,"Власти Украины ограничили доступ на территории страны к сайтам информационных агентств РИА Новости и РИА Новости Украина. Блокировка произошла в рамках санкций. Заблокированными также оказались проекты ВГТРК, Первого канала, НТВ, РЕН ТВ и ОТР. Активы перечисленных компаний будут заморожены.",13,154,success,high,22
46,"Пользователи сети обвинили редакцию газеты New York Post в сексизме и мизогинии. В передовице издания, посвященной встрече президента США Дональда Трампа с Ким Кардашьян, трижды в шуточной форме упоминаются ягодицы иконы стиля. Пользователи платформы микроблогов Twitter возмутились подобному отношению к женщине.",13,92,success,high,19
47,"Депутат Госдумы Вячеслав Фетисов рассказал о готовящемся товарищеском международном хоккейном матче недалеко от Северного полюса с участием приглашенных Голливудских звезд — Леонардо Ди Каприо и Джимом Керри. <br />Планируется, что хоккейный матч под эгидой ЮНЕП будет проведен на базе дрейфующего лагеря.",9,82,in progress,high,31
48,"Британский журналист индийского происхождения Тарик Панджа рассказал, как его встретили в Киеве нацистским приветствием. По его словам, когда он гулял по майдану Незалежности, прохожие кричали ему «Зиг хайль!». Авторство этого лозунга, который в переводе означает «Да здравствует Победа», приписывают Рудольфу Гессу.",21,125,in progress,low,5
49,"Верховный суд России готовит законопроект, направленный на декриминализацию отдельных составов преступлений в сфере предпринимательской деятельности. В разряд административных правонарушений может быть переведено незаконное предпринимательство, причинение ущерба и некоторые виды мошенничества.",18,212,success,low,34
50,В Южной Корее 31 процент человек благоприятно относится к северокорейскому лидеру Ким Чен Ыну. Еще в марте этот показатель составлял всего 10 процентов. Такие результаты опроса общественного мнения публикует компания Gallup Korea. Больше всего лидеру соседнего государства симпатизируют люди в возрасте от 40 до 60 лет.,15,159,in progress,high,7
51,"Отставной британский военный пять месяцев прятался в лесу французского департамента Вьенна и совершил более 40 ограблений местных жителей. Его хорошо замаскированную палатку с награбленным нашли в лесу. В ней был телевизор, газовые баллоны, кухонная утварь, компьютеры и украшения.",15,192,in progress,high,8
52,"В Китае перебегавший дорогу пес породы хаски сбил со скутера деда и его внука. В результате падения мальчик отделался легким испугом, а его старший родственник получил множественные переломы, в том числе ключицы и ребер. Владелица собаки Чжу согласилась оплатить все расходы на его лечение.",10,194,success,high,35
53,"На Кубани выясняют обстоятельства смерти 4-летней девочки, родители которой обратились к врачам в Армовире, но отказались госпитализировать ее в местную больницу. В Минздраве Краснодарского края заявили, что родители повезли ребенка в Ставропольский край, где он и скончался.",5,134,success,high,25
54,"Восток Украины сейчас является самым опасным местом в мире для русскоязычного населения, заявила официальный представитель Госдепартамента США Хизер Нойерт. По ее словам, Россия «контролирует насилие на востоке Украины». «Кремль мог покончить с насилием уже завтра, если хотел бы этого», — сказала Нойерт.",21,86,in progress,medium,5
55,"На Камчатке летчики-истребители морской авиации Тихоокеанского флота (ТОФ) первыми в Вооруженных силах России выполнили ночные полеты в летнем периоде обучения, сообщил начальник отдела информационного обеспечения пресс-службы Восточного военного округа по ТОФ капитан 2 ранга Николай Воскресенский.",17,75,success,medium,24
